name,based_on,sort_order,groups
Aftercare,Default,200,Specifications
Barbells,Default,200,Specifications
Body Jewelry,Default,200,Specifications
Captives,Default,200,Specifications
Circulars,Default,200,Specifications
Clothing,Default,200,Specifications
Ends,Default,200,Specifications
Hanging,Default,200,Specifications
Labret,Default,200,Specifications
Nostril,Default,200,Specifications
Plugs,Default,200,Specifications
Rings,Default,200,Specifications
Septum,Default,200,Specifications
All Products,Default,200,Specifications
Tapers,Default,200,Specifications
Earrings,Default,200,Specifications
Regular Jewelry,Default,200,Specifications
